pathwayName,nextName,tag
Elevation of cytosolic Ca2+ levels,G alpha (i) signalling events,NextStepParentPathway
Smooth Muscle Contraction,G alpha (i) signalling events,NextStepParentPathway
CaM pathway,G alpha (i) signalling events,NextStepParentPathway
"Inactivation, recovery and regulation of the phototransduction cascade",G alpha (i) signalling events,NextStepParentPathway
CREB phosphorylation,G alpha (i) signalling events,NextStepParentPathway
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,G alpha (i) signalling events,NextStepParentPathway
PKA activation in glucagon signalling,G alpha (i) signalling events,NextStepParentPathway
GPER1 signaling,G alpha (i) signalling events,NextStepParentPathway
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,G alpha (i) signalling events,NextStepParentPathway
CREB1 phosphorylation through the activation of Adenylate Cyclase,G alpha (i) signalling events,NextStepParentPathway
AKT phosphorylates targets in the nucleus,G alpha (i) signalling events,NextStepParentPathway
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,G alpha (i) signalling events,NextStepParentPathway
CaMK IV-mediated phosphorylation of CREB,G alpha (i) signalling events,NextStepParentPathway
Vasopressin regulates renal water homeostasis via Aquaporins,G alpha (i) signalling events,NextStepParentPathway
DARPP-32 events,G alpha (i) signalling events,NextStepParentPathway
NGF-stimulated transcription,G alpha (i) signalling events,NextStepParentPathway
NCAM signaling for neurite out-growth,G alpha (i) signalling events,NextStepParentPathway
Transcriptional activation of mitochondrial biogenesis,G alpha (i) signalling events,NextStepParentPathway
PKA activation,G alpha (i) signalling events,NextStepParentPathway
ADORA2B mediated anti-inflammatory cytokines production,G alpha (i) signalling events,NextStepParentPathway
G alpha (i) signalling events,G alpha (i) signalling events,NextStepParentPathway
G alpha (z) signalling events,G alpha (i) signalling events,NextStepParentPathway
G alpha (s) signalling events,G alpha (i) signalling events,NextStepParentPathway
PKA-mediated phosphorylation of CREB,G alpha (i) signalling events,NextStepParentPathway
Long-term potentiation,G alpha (i) signalling events,NextStepParentPathway
ADP signalling through P2Y purinoceptor 1,G alpha (i) signalling events,NextStepParentPathway
Platelet sensitization by LDL,G alpha (i) signalling events,NextStepParentPathway
ADP signalling through P2Y purinoceptor 12,G alpha (i) signalling events,NextStepParentPathway
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,G alpha (i) signalling events,NextStepParentPathway
Opioid Signalling,G alpha (i) signalling events,NextStepParentPathway
Adenylate cyclase activating pathway,G alpha (i) signalling events,NextStepParentPathway
RHO GTPases activate PKNs,RHO GTPases activate PKNs,NextStepParentPathway
Iron uptake and transport,SLC-mediated transmembrane transport,NextStepParentPathway
Zinc influx into cells by the SLC39 gene family,SLC-mediated transmembrane transport,NextStepParentPathway
Sulfur amino acid metabolism,SLC-mediated transmembrane transport,NextStepParentPathway
Methylation,SLC-mediated transmembrane transport,NextStepParentPathway
Amino acid transport across the plasma membrane,SLC-mediated transmembrane transport,NextStepParentPathway
Formation of ATP by chemiosmotic coupling,SLC-mediated transmembrane transport,NextStepParentPathway
Interconversion of nucleotide di- and triphosphates,SLC-mediated transmembrane transport,NextStepParentPathway
GDP-fucose biosynthesis,SLC-mediated transmembrane transport,NextStepParentPathway
